target,text
0,no we will be a of
0,your
0,i but no more my so
0,for your i your i not of the of but will out on my from the i in now do have a
0,doe in
0,i been for the to you for thi i i your for and will my you have been and a at all
0,of it to of it to be
0,it the at the whi you are but
0,do some d
0,my i you and i just up i you were here in with me me i you
0,you your
1,you won to the or to
0,i from
0,i
0,i d in d d thi can
0,you are have a thi you and of have a
0,is it
0,i out of in in you where is
0,all these and the onli i can them to is you in
0,i will befor
0,you all for
0,over it
0,d a wa on hi i wa when the i wa i wa i d we we a d who it with if
0,how are you with as in to you a how are you
0,i if he then it veri for our
0,should i there or what
0,i you i here i just to that you are them do the of your
0,wa in the
0,in other after me to him for a ha no
0,a veri and up with the same is the same will i
1,have a on your now by the and it to no
0,i up what other
0,i had a some befor it
0,just
0,so thi are we for the onli or the too
0,we
1,more are in your now and whi not yourself there thi
0,me
0,is to all me if d if will
0,i to i of what is your
1,for with no
0,i did up
0,i i do have her
0,you my i you about hi is he in with me and me to him at
0,for you at that
0,what wa she for
0,can i can for
0,i my
0,to about the so i a now
0,you were to me up
0,can not in thi
1,you have won a or on on
0,the i onli when it to is that becaus of i can onli to be when me to be and that onli when to up
0,the as your
0,i that i do of dure the a and is so that should it
0,that which i
0,i of with you about thi after do what you and from now on i do the same
0,other
1,you a your over to
0,me
0,they have a on the of the where from the and from the up
0,that have that have an to be than are
0,the of is not when we but it is when we have a
0,my is at we for the to do you
0,for you is with all that is not when you i had you you were on the the when i in i we were after you from do and me it me to to you
0,in my you and
0,i up to in
0,had a have you to the
1,been to in of for at to
1,we are to that you have won a from onli
0,i have been about you
0,a for me in your and not in your as the but the will you
0,where is it is there ani for
0,be there i will after
0,be to your we
0,to for onli
0,hi is in
0,all other are onli
1,now just
0,a of do those d in their
0,i do he to he here
1,have a who so to out
1,your or t
0,now no
0,do then not have
1,have a who is with out who they who so on
0,i he
0,no i am not have not ani in my
0,are you in
0,whi do you at to if you your
0,me
0,no we a and i we to in some so they we
1,a you from not be as you do not have up to the
1,your or now
0,have a and i will a now to to
0,but then
